@relation CHOPSWellSourceData

@attribute CHOPS_UWI {100011404808W400,100012705103W400,100012805202W400,100020305203W400,100021604901W400,100021605103W400,100022304902W400,100022705103W400,100022705202W400,100023604806W400,100023605004W400,100031905006W400,100032705202W400,100033205206W400,100040905102W400,100041804901W400,100043405006W400,100043405202W400,100051204501W400,100051705103W400,100051804901W400,100052005003W400,100052605103W400,100053205003W400,100060204601W400,100060605102W400,100062704907W400,100062805202W400,100070305203W400,100071005103W400,100072205202W400,100073405202W400,100080205003W400,100081005103W400,100082705103W400,100082905205W400,100083305006W400,100090405102W400,100090504901W400,100092205103W400,100092904902W400,100093305002W400,100093605004W400,100101204501W400,100101805006W400,100102205202W400,100102805202W400,100103305002W400,100103305202W400,100111705103W400,100112105103W400,100112405007W400,100113105003W400,100113305002W400,100120405201W400,100122605103W400,100122705103W400,100122904902W400,100122904906W400,100132104906W400,100132305103W400,100132505004W400,100132605103W400,100140405102W400,100141205003W400,100142205103W400,100143305002W400,100143305202W400,100143405202W400,100150405102W400,100150605006W400,100151004901W400,100151204501W400,100151505202W400,100151605103W400,100152105103W400,100152405202W400,100162205103W400,100162205202W400,100162405202W400,100162505004W400,100163605003W400,100163605004W400,102022205202W400,102022404902W400,102022905003W400,102031605103W400,102050704807W400,102062405201W400,102071305007W400,102072805103W400,102082105103W400,102082805202W400,102083105003W400,102091705103W400,102092105103W400,102101705103W400,102111005103W400,102111705103W400,102111805006W400,102112405007W400,102113405202W400,102122904906W400,102131805006W400,102141204501W400,102141605103W400,102151305007W400,102152205103W400,102152805202W400,102160405102W400,102161305007W400,102162805202W400,102163605004W400,103032905003W400,103090405102W400,103092105103W400,103101305007W400,105061204808W400}
@attribute PHIc numeric
@attribute KRc numeric
@attribute PHIR numeric
@attribute Vshc numeric
@attribute H numeric
@attribute Soc numeric
@attribute Pc {high,veryhigh,medium,low}
@attribute Pp {high,veryhigh,medium,low}
@attribute Pt {high,veryhigh,medium,low}

@data
100162505004W400,1,1,1,1,1,2,high,high,high
100163605003W400,3,3,1,1,3,3,veryhigh,veryhigh,veryhigh
100163605004W400,2,3,2,3,2,3,high,high,high
102022205202W400,2,2,3,1,2,2,medium,medium,medium
102022404902W400,3,3,2,1,3,3,medium,medium,medium
102022905003W400,3,3,3,3,3,3,low,low,low
102031605103W400,2,3,3,2,2,2,medium,medium,medium
102050704807W400,1,1,1,2,1,1,veryhigh,veryhigh,veryhigh
102062405201W400,3,3,3,4,3,3,veryhigh,veryhigh,veryhigh
102071305007W400,1,2,2,1,1,2,high,high,high
102072805103W400,2,3,2,2,2,2,high,high,high
102082105103W400,2,3,2,2,3,3,medium,medium,medium
102082805202W400,2,2,2,3,2,3,high,high,high
102083105003W400,2,3,2,2,2,2,high,high,high
102091705103W400,1,2,2,1,1,1,medium,medium,medium
102092105103W400,2,3,2,2,2,3,high,high,high
102101705103W400,3,3,3,3,3,3,medium,medium,medium
102111005103W400,3,4,3,3,3,3,high,high,high
102111705103W400,2,3,2,2,2,2,high,high,high
102111805006W400,2,1,2,1,2,2,high,high,high
102112405007W400,3,3,2,1,3,3,high,high,high
102113405202W400,3,2,4,3,3,3,medium,medium,medium
102122904906W400,1,1,2,1,1,1,high,high,high
102131805006W400,3,2,2,3,3,3,high,high,high
102141204501W400,1,1,1,2,1,2,high,high,high
102141605103W400,2,3,2,1,2,2,medium,medium,medium
102151305007W400,2,2,3,2,2,3,high,high,high
102152205103W400,2,2,3,1,2,2,low,low,low
102152805202W400,3,3,3,3,2,3,medium,medium,medium
102160405102W400,4,4,4,3,4,4,veryhigh,veryhigh,veryhigh
102161305007W400,3,3,4,1,3,3,medium,medium,medium
102162805202W400,2,2,2,3,2,2,high,high,high
102163605004W400,2,2,2,3,2,3,high,high,high
103032905003W400,3,4,3,3,3,3,medium,medium,medium
103090405102W400,4,4,4,3,4,4,veryhigh,veryhigh,veryhigh
103092105103W400,1,2,2,1,1,1,high,high,high
103101305007W400,2,2,3,1,2,2,high,high,high
105061204808W400,2,3,3,2,2,2,high,high,high
